delta_local_minus_official,experiment_kind,experiment_label,local_primary_mean,local_primary_std,mode,official_primary,official_source_updated,official_source_url,official_split,primary_metric,status,task,task_name,train_subset_fraction,train_subset_percent,train_subset_size
,,,,,ft2,78.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-beam,Beam Prediction,,,
,,,,,lora,77.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-beam,Beam Prediction,,,
,,,,,lp,67.67,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-beam,Beam Prediction,,,
,,,,,ft2,95.46,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-los,LOS/NLOS Classification,,,
,,,,,lora,95.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-los,LOS/NLOS Classification,,,
,,,,,lp,95.02,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,deepmimo-los,LOS/NLOS Classification,,,
,,,,,ft2,78.94,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,interf,Interference Classification,,,
,,,,,lora,78.94,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,interf,Interference Classification,,,
,,,,,lp,71.5,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,interf,Interference Classification,,,
,,,,,ft2,1.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,pos,5G NR Positioning,,,
,,,,,lora,1.45,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,pos,5G NR Positioning,,,
,,,,,lp,3.17,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,pos,5G NR Positioning,,,
-10.689500122070314,train_subset_study,3% subset,83.84049987792969,0.22323454045639715,ft2,94.53,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,radcom,RADCOM Signal Classification,0.03,3.0,
-9.747750549316407,train_subset_study,3% subset,84.0322494506836,0.2674401327275024,lora,93.78,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,radcom,RADCOM Signal Classification,0.03,3.0,
-6.7361414591471345,train_subset_study,3% subset,83.36385854085286,0.08374352405426981,lp,90.1,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,radcom,RADCOM Signal Classification,0.03,3.0,
,,,,,ft2,99.7,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfp,RF Fingerprinting,,,
,,,,,lora,99.82,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfp,RF Fingerprinting,,,
,,,,,lp,98.97,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfp,RF Fingerprinting,,,
,,,,,ft2,83.41,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfs,RF Signal Classification,,,
,,,,,lora,84.49,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfs,RF Signal Classification,,,
,,,,,lp,42.85,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,rfs,RF Signal Classification,,,
-18.923573964436848,train_subset_study,3% subset,36.23642603556315,0.14181674456539237,ft2,55.16,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,rml,Modulation Classification,0.03,3.0,
-18.42292363484701,train_subset_study,3% subset,38.06707636515299,0.01993740698340791,lora,56.49,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,rml,Modulation Classification,0.03,3.0,
-14.134808197021485,train_subset_study,3% subset,36.255191802978516,0.17872510707400324,lp,50.39,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,ok,rml,Modulation Classification,0.03,3.0,
,,,,,ft2,99.31,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,sensing,Human Activity Sensing,,,
,,,,,lora,98.47,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,sensing,Human Activity Sensing,,,
,,,,,lp,94.42,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,pca,missing_local_result,sensing,Human Activity Sensing,,,
,,,,,ft2,0.83,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-indoor,UWB Indoor Positioning,,,
,,,,,lora,0.65,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-indoor,UWB Indoor Positioning,,,
,,,,,lp,1.43,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-indoor,UWB Indoor Positioning,,,
,,,,,ft2,0.88,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-industrial,UWB Industrial Localization,,,
,,,,,lora,0.74,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-industrial,UWB Industrial Localization,,,
,,,,,lp,2.71,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,mean_error,missing_local_result,uwb-industrial,UWB Industrial Localization,,,
